"ID_REF","non_pulsed_196","non_pulsed_198","non_pulsed_201","pulsed_200","pulsed_203","pulsed_205"
"1391303_at",5.806284904,5.829119205,5.414470673,5.633890152,5.488587856,5.645166397
"1391304_at",6.619300365,6.508131027,7.164928913,7.328828812,7.328226089,8.139205933
"1391305_at",3.521951914,3.457401752,3.788671017,4.360145092,4.486440659,4.612476826
"1391306_at",7.724502087,7.746739864,8.090323448,8.46937561,8.505145073,8.410081863
"1391307_at",6.653552055,6.503473759,6.693419933,6.800997734,6.68836689,6.439308167
"1391308_at",5.390415192,5.746575832,4.95936203,5.462218761,5.419483185,5.340667248
"1391309_at",7.099122047,6.918274403,6.563807011,7.244474411,6.970899105,7.01210928
"1391310_at",7.703819752,7.638046265,7.663373947,7.772314072,7.780346394,7.738024235
"1391311_at",3.37836647,3.37754631,3.321928024,3.378549576,3.360920906,3.446621895
"1391312_at",4.834544659,5.382642269,5.040040493,5.17944479,5.119063377,5.186861992
"1391313_at",4.3807621,3.546547651,4.517173767,4.865877628,5.009152412,4.969151497
"1391314_at",7.338013172,7.150919437,6.915537834,7.001116753,6.776337624,7.027383804
"1391315_at",5.835426331,5.816533566,6.247835636,6.242426872,6.266363621,6.351227283
"1391316_at",5.665693283,5.718582153,5.356660366,5.683592319,5.534453869,5.821753979
"1391317_at",7.021546364,6.350304127,6.583295822,6.213592052,5.325081825,6.127655029
"1391318_x_at",7.330766201,7.172413349,6.995885849,7.188984394,7.041539192,7.464121819
"1391319_at",4.821438313,5.488013744,5.696799278,5.986828804,5.762811661,5.875401497
"1391320_at",5.491660595,4.821419716,5.325077534,5.78926754,5.718600273,6.19069767
"1391321_at",3.37836647,3.37754631,3.321928024,3.378549576,3.360920906,3.446621895
"1391322_at",4.90955019,4.626720905,4.63062048,4.41447401,4.526575089,4.51242733
"1391323_at",4.855686188,5.006129265,4.669114113,5.232397556,4.559242725,4.426926613
"1391324_at",8.472629547,9.640725136,9.697648048,10.0136795,9.859956741,9.598492622
"1391325_at",5.550981522,4.29216814,5.215172291,5.449105263,5.912145615,5.829085827
"1391326_at",3.37836647,3.508878946,3.641744852,4.114079475,4.122965336,4.085294724
"1391327_at",7.529062748,7.713131905,6.85347414,7.844108105,7.374006271,7.2492733
"1391328_at",9.732420921,10.02898598,10.20336056,10.26020718,10.13777733,10.1172514
"1391329_at",5.604943275,6.094195366,5.920796394,6.255167484,6.323531151,6.648361683
"1391330_at",5.194498062,5.040277004,5.139619827,4.947486877,4.941906929,4.620772839
"1391331_at",3.37836647,3.37754631,3.321928024,3.378549576,3.360920906,3.446621895
