ID_REF,non_pulsed_196,non_pulsed_198,non_pulsed_201,non_pulsed_197,non_pulsed_199,non_pulsed_202
1379195_s_at,7.138353348,6.836974144,6.832226753,7.046185017,6.855567932,6.862364292
1379196_at,6.044995308,5.714552879,5.881145954,5.867542744,5.451527119,6.011285782
1379197_at,5.429690361,6.225243568,5.956773758,6.249613285,6.092674732,5.874877453
1379198_at,4.948038101,4.672793865,4.809537888,4.968913555,4.704956055,4.988603592
1379199_at,3.37836647,3.37754631,3.321928024,3.455305099,3.386288643,3.323191643
1379200_at,3.547270298,3.37754631,3.321928024,3.565603018,3.386288643,3.598069906
1379201_at,7.264422894,7.348664284,7.465647221,7.216823578,7.503674507,7.399555206
1379202_at,3.37836647,3.37754631,3.321928024,3.455305099,3.386288643,3.323191643
1379203_at,5.716923714,5.449820518,5.523379326,5.6463027,5.735698223,5.779327869
1379204_at,5.460920334,5.138698101,5.088705063,5.66275835,5.324252129,5.007554531
1379205_at,5.616265774,5.206350803,5.191633701,5.746537209,4.886575222,5.130210876
1379206_at,8.680645943,9.316770554,9.395534515,9.350182533,9.535214424,9.303281784
1379207_at,3.37836647,3.37754631,3.374388456,3.455305099,3.386288643,3.323191643
1379208_at,3.37836647,3.814207077,3.321928024,3.455305099,3.386288643,3.323191643
1379209_at,7.724030972,8.029470444,7.658644199,7.942814827,7.803541183,7.842339039
1379210_at,4.86396265,4.276110172,4.856553078,5.304450035,4.9082551,4.829020977
1379211_at,6.960321426,6.799535751,7.560239792,7.575726032,6.371023178,7.457999229
1379212_at,6.562975883,6.681911469,6.660958767,6.94149828,6.62122488,6.393897533
1379213_at,3.37836647,3.605335474,3.673028231,3.455305099,3.846899271,3.626012564
1379214_at,3.804366112,3.996246338,3.553536177,3.455305099,3.765526056,3.323191643
1379215_at,3.37836647,3.37754631,3.321928024,3.455305099,3.386288643,3.323191643
1379216_at,5.022886276,5.195942879,4.913531303,5.450440884,5.248048782,4.710785866
1379217_at,9.634031296,9.304550171,9.53807354,9.572850227,9.413315773,9.577252388
1379218_at,6.448343754,6.806478024,7.178812027,6.800694466,6.721255779,6.942235947
1379219_at,5.11867094,4.334506512,4.580273151,5.177205563,4.816120148,4.990941048
1379220_at,6.311357975,6.26853323,6.510577679,6.723399639,6.681932449,6.502349854
1379221_at,7.556764126,7.170338154,7.401212215,7.344988823,7.407614708,7.338626862
1379222_at,3.595247269,3.913493872,3.889033556,4.235617638,3.685402155,3.740678549
1379223_x_at,4.323332787,4.155693531,3.425317049,4.238911152,4.235677719,4.383113861
1379224_at,4.304080963,3.37754631,3.622807503,4.004834175,3.686202765,3.647934437
1379225_at,5.516303062,5.577488422,5.087347507,5.271111965,5.484828949,5.115244389
1379226_at,5.032578468,4.88414526,4.905564785,4.983994007,5.199029922,4.804508209
1379227_at,3.37836647,3.37754631,3.321928024,3.455305099,3.386288643,3.323191643
1379228_at,7.967281342,7.777484894,7.667164803,7.807630062,7.663526535,7.547707558
1379229_at,3.820923567,3.921574593,4.076413631,4.449059963,3.386288643,4.284477711
1379230_at,3.37836647,3.406269789,3.321928024,3.605017185,3.679005623,3.560093164
1379231_at,3.37836647,3.37754631,3.321928024,3.455305099,3.386288643,3.323191643
1379232_at,7.576478004,7.046958923,7.619229794,7.701592445,7.172898769,7.225395679
1379233_at,5.341608047,5.587666988,5.351965904,5.546875,5.602880001,5.5178895
1379234_a_at,7.241919518,6.627764225,6.87198782,6.740650177,6.582054615,7.076957703
1379235_x_at,8.188816071,7.798549652,7.708895683,7.74113512,7.870225906,7.897860527
1379236_at,6.800094604,7.199493408,7.41263485,7.179687977,7.632968903,7.515771866
1379237_at,3.37836647,3.37754631,3.321928024,3.455305099,3.386288643,3.323191643
1379238_at,7.159450054,5.586424828,6.812751293,6.84030962,5.73956871,6.568673611
1379239_at,3.615050077,3.37754631,3.321928024,3.455305099,3.655869007,3.323191643
1379240_at,5.112753868,4.878626347,4.58675766,5.129705429,4.962048054,4.385709763
1379242_at,8.536293983,8.75180912,8.867225647,8.340959549,8.742533684,8.770970345
1379243_at,11.47883797,11.78389645,11.74339008,11.90987587,11.78432846,11.68462944
1379244_at,6.549476624,6.535980701,6.507270813,6.977949619,6.549880981,6.520253181
1379245_at,8.097399712,8.034666061,8.062817574,8.093290329,8.254654884,8.087636948
1379246_at,6.049386978,6.063938618,5.790209293,6.413712502,5.959888458,6.269539833
1379247_at,7.717867374,7.245084286,7.562702656,7.909537792,7.43976593,7.736615658
1379248_at,7.206680298,6.47130394,7.203882217,7.148012638,6.491546154,7.042960167
1379249_at,10.12683487,10.84731674,10.44394207,10.58792114,10.5417614,10.50729084
1379250_at,7.495568752,7.28400135,7.504580498,7.389440536,7.279323578,7.571192265
1379251_at,8.147435188,7.38936758,8.064047813,8.841855049,8.003293037,8.123867989
1379252_at,10.08584404,9.803692818,9.731911659,9.801495552,9.566040993,10.01554203
1379253_at,5.496546268,4.734886169,5.502571583,5.210211277,5.139688969,5.876306057
1379254_at,9.95457077,10.124156,10.0700798,10.01804543,10.02622128,9.868587494
1379255_at,10.59843254,10.6321497,10.79768753,10.35539055,10.57061577,10.79065418
1379256_at,7.926417828,7.976855278,7.824852467,8.103679657,7.967175961,7.835203648
1379257_at,6.793749332,7.450512409,7.247135639,7.423693657,7.247718334,7.3215065
1379258_at,9.649103165,9.046131134,9.314659119,9.777235031,8.978034973,9.417453766
1379259_at,7.818967819,7.975674152,8.050410271,8.542205811,8.379337311,8.514956474
1379260_at,9.099188805,9.225335121,9.451788902,9.534770966,9.721860886,9.517461777
1379261_at,9.076956749,8.962656021,8.780256271,9.229521751,9.081997871,8.83665657
1379262_at,10.25854492,10.64209366,10.59294796,10.17040348,10.47861576,10.49274158
1379263_at,8.320933342,8.026568413,8.147399902,8.511618614,8.334393501,8.203576088
1379264_at,9.158946037,9.744823456,9.539993286,10.31460285,9.882780075,9.643115044
1379265_at,8.316777229,8.078370094,8.382393837,8.66196537,8.371245384,8.331551552
1379266_at,6.94949007,6.558475971,6.799043179,7.101198196,6.871580124,6.623887062
1379267_a_at,8.389431,8.168753624,8.178812027,8.47077179,8.467213631,8.192271233
1379268_at,8.208934784,8.070527077,7.748225689,8.490698814,8.131305695,7.808284283
1379269_at,9.428418159,9.535511971,9.4842062,9.234991074,9.474285126,9.495764732
1379270_at,5.088973522,4.668281078,4.914234638,4.475030422,4.827133179,4.890662193
1379271_at,11.27227497,11.47925663,11.33860779,11.34666252,11.40044975,11.20738506
1379272_at,10.45258141,9.979172707,9.871974945,10.14263916,9.86154747,10.03761482
1379273_at,10.00123501,9.878780365,9.699511528,10.04842091,9.982783318,9.796080589
1379274_at,7.969120026,6.63458395,7.299419403,7.961733341,6.913211346,7.315523148
1379275_at,6.991735458,6.556575298,6.964938164,6.345534325,6.578150272,6.655686378
1379276_at,5.75633955,5.771173,5.822666645,5.982451916,5.747029305,6.211625576
1379277_at,9.733259201,9.769533157,9.876893044,9.983970642,9.800473213,9.825462341
1379278_at,7.604132175,7.81433773,7.941223621,7.872416973,8.00127697,8.058862686
1379279_at,7.831750393,7.364534378,7.486253262,7.822688103,7.370303631,7.420977116
1379280_at,7.219577789,6.357999802,7.004266739,7.540671349,6.948433399,7.080379486
1379281_at,4.866897106,4.320863724,4.410396576,4.774220467,4.565043449,4.667475224
1379282_at,8.724986076,9.377130508,9.455615997,9.358258247,9.550634384,9.326746941
1379283_at,7.897449017,7.703618526,7.812205315,7.914513111,7.995780945,8.055998802
1379284_at,5.671774387,6.284999371,6.228743076,5.564068317,6.106681824,6.001320362
1379285_at,4.107841015,3.37754631,5.769502163,4.62768364,3.386288643,4.379149437
1379286_at,3.693291664,3.37754631,4.674847126,3.455305099,5.166136265,4.77762413
1379287_at,7.765423775,7.945236683,7.858257294,7.548087597,7.791585922,7.703042984
1379288_at,7.771169662,7.63229084,7.770880699,7.817163944,7.745604038,7.820137978
1379289_at,7.112708569,6.76803112,6.876067638,6.901982307,6.785049438,6.932647705
1379290_at,7.387640476,7.599011421,7.735141754,7.875722885,7.875378132,7.63156271
1379291_at,3.982868671,3.892474651,3.743119717,4.47504282,4.056554317,4.321634293
1379292_at,8.398146629,7.947948456,8.602721214,8.260092735,8.03616333,8.622919083
1379293_at,5.389829159,5.410979748,4.995417595,5.205701351,4.972566128,4.621011257
1379294_at,8.107001305,7.23103714,7.212107182,8.542316437,7.351991653,7.533790112
1379295_at,7.67051363,7.303887367,6.993011951,7.87044096,7.597599983,7.078181744
1379296_at,7.603390217,7.639260769,7.613204479,7.722018242,7.563741684,7.467273235
1379297_at,3.37836647,4.32492733,3.635666132,3.455305099,3.386288643,3.323191643
1379298_at,7.916550636,7.411427498,7.694991589,8.171748161,7.484663486,7.625172138
1379299_at,6.994979382,6.876486301,7.046645164,6.812011242,6.881655216,6.950339794
1379300_at,6.663885593,5.692239285,6.162045002,5.837516785,5.884874344,6.018762112
1379301_at,5.789945602,6.116678238,5.989975929,6.23445797,6.359183311,6.285645008
1379302_at,9.418880463,9.265936852,9.102043152,9.42587471,9.141558647,8.952541351
1379303_at,7.808536053,7.940459728,8.06007576,8.214231491,8.120161057,8.001051903
1379304_at,6.550724983,6.646142006,6.605855465,6.907316685,6.839936733,6.642231464
1379305_at,7.104251862,7.391646385,7.792089939,7.817346573,7.69782877,7.847795963
1379306_at,6.990207195,6.889882088,6.809510708,7.088040829,7.201187611,6.917622089
1379307_at,7.611371994,7.301412582,7.464191437,7.520032883,7.207582474,7.457369804
1379308_at,6.996688843,7.360914707,7.516144276,8.68500042,8.141505241,7.383536816
1379309_at,5.50478363,5.841590881,5.47896862,5.480772972,5.719555378,5.843227863
1379310_at,8.139706612,8.744701385,8.622708321,8.173830986,8.650592804,8.562684059
